filename,scan_type,n_rays,n_sentinel_az,n_sentinel_el,n_sentinel_any,all_sentinel,short_file,log_az_offset,n_az_disagree,n_el_disagree,log_el_at_sentinel,flags
ncas-mobile-ka-band-radar-1_cao_20240307-114413_ppi_l1_v1.0.1.nc,ppi,2263,0,2263,2263,True,False,nan,0,0,82.0,"sentinel_el (2263/2263 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-121413_ppi_l1_v1.0.1.nc,ppi,2095,0,2095,2095,True,False,nan,0,0,82.0,"sentinel_el (2095/2095 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-121507_ppi_l1_v1.0.1.nc,ppi,350,0,350,350,True,False,nan,0,0,82.0,"sentinel_el (350/350 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-124413_ppi_l1_v1.0.1.nc,ppi,2068,0,2068,2068,True,False,nan,0,0,82.0,"sentinel_el (2068/2068 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-131414_ppi_l1_v1.0.1.nc,ppi,2289,0,2289,2289,True,False,nan,0,0,82.0,"sentinel_el (2289/2289 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-134413_ppi_l1_v1.0.1.nc,ppi,2130,0,2130,2130,True,False,nan,0,0,82.0,"sentinel_el (2130/2130 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-141413_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-144413_ppi_l1_v1.0.1.nc,ppi,2447,0,2447,2447,True,False,nan,0,0,82.0,"sentinel_el (2447/2447 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-151414_ppi_l1_v1.0.1.nc,ppi,2447,0,2447,2447,True,False,nan,0,0,82.0,"sentinel_el (2447/2447 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-154414_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-161413_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-164412_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-171413_ppi_l1_v1.0.1.nc,ppi,2445,0,2445,2445,True,False,nan,0,0,82.0,"sentinel_el (2445/2445 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-174414_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-181413_ppi_l1_v1.0.1.nc,ppi,2362,0,2362,2362,True,False,nan,0,0,82.0,"sentinel_el (2362/2362 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-184413_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-191413_ppi_l1_v1.0.1.nc,ppi,2418,0,2418,2418,True,False,nan,0,0,82.0,"sentinel_el (2418/2418 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-194414_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-201413_ppi_l1_v1.0.1.nc,ppi,1859,0,1859,1859,True,False,nan,0,0,82.0,"sentinel_el (1859/1859 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-204402_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-211413_ppi_l1_v1.0.1.nc,ppi,1985,0,1985,1985,True,False,nan,0,0,82.0,"sentinel_el (1985/1985 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-214418_ppi_l1_v1.0.1.nc,ppi,2760,0,2760,2760,True,False,nan,0,0,82.0,"sentinel_el (2760/2760 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-221414_ppi_l1_v1.0.1.nc,ppi,384,0,384,384,True,False,nan,0,0,82.0,"sentinel_el (384/384 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-224413_ppi_l1_v1.0.1.nc,ppi,2447,0,2447,2447,True,False,nan,0,0,82.0,"sentinel_el (2447/2447 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-231446_ppi_l1_v1.0.1.nc,ppi,117,0,117,117,True,False,nan,0,0,82.0,"sentinel_el (117/117 rays, 100%); all_sentinel"
